timestamp,CHP_KWH,CHP_A,CHP_KW,CHP_VFD,QCH,TCHR,TCWS,TCHS,TCHS_SP,IPCT,CH_KW,TCWR_1,TCWR_2,TCWR_3,TCWR_4,TCWR_5,TCHD_cal,RT_cal,KWRT_cal,COP_cal
2020-07-20 15:30:00+00:00,706.0,58.1,47.7,49.2,841830.1769999999,9.67222222222222,30.161111111111115,5.8500000000000005,4.444444444444445,898.24,483.32,23.166666666666668,23.61111111111111,23.22222222222222,23.22222222222222,23.77777777777778,3.82222222222222,1064.0416699294526,0.45423033106592975,7.740566315219638
2020-07-20 15:45:00+00:00,706.0,65.1,58.2,52.8,659298.5519999999,10.372222222222224,29.16111111111111,5.938888888888887,4.444444444444445,776.45,435.95,23.166666666666668,23.61111111111111,23.111111111111107,23.22222222222222,23.833333333333336,4.433333333333336,966.5642351851857,0.45103055144232146,7.795480791171265
2020-07-20 16:00:00+00:00,706.0,44.7,25.0,39.3,485994.0,12.07222222222222,29.099999999999998,6.199999999999998,4.444444444444445,908.74,488.47,23.277777777777782,23.666666666666664,23.333333333333332,23.277777777777782,23.88888888888889,5.872222222222221,943.738348765432,0.5175904959663881,6.79301499428677
2020-07-20 16:15:00+00:00,706.0,49.1,32.3,39.5,521903.05199999997,12.188888888888888,29.761111111111106,6.133333333333333,4.444444444444445,921.81,495.15,23.5,23.77777777777778,23.61111111111111,23.61111111111111,24.166666666666668,6.055555555555555,1045.1100945767193,0.4737778369661054,7.421199823349986
2020-07-20 16:30:00+00:00,706.0,46.8,28.4,39.5,500471.625,11.93333333333333,29.84444444444445,5.827777777777779,4.444444444444445,936.06,502.43,23.72222222222222,23.72222222222222,23.833333333333336,23.5,23.944444444444443,6.105555555555551,1010.468687307098,0.49722470998975477,7.071249536396626
2020-07-20 16:45:00+00:00,706.0,43.4,22.8,37.4,464135.625,11.88888888888889,29.15555555555556,5.8500000000000005,4.444444444444445,910.81,489.53,23.88888888888889,23.88888888888889,23.833333333333336,23.555555555555557,24.111111111111114,6.038888888888889,926.8728401951058,0.5281522758795634,6.657170972414341
2020-07-20 17:00:00+00:00,706.0,44.5,24.8,37.2,470380.875,12.205555555555556,29.644444444444446,5.938888888888887,4.444444444444445,932.74,500.74,24.222222222222218,24.166666666666668,24.111111111111114,23.944444444444443,24.555555555555557,6.266666666666668,974.7751818783072,0.5136979370310982,6.844489234900604
2020-07-20 17:15:00+00:00,706.0,48.4,31.0,39.5,499336.125,12.166666666666666,30.022222222222226,6.261111111111113,4.444444444444445,892.03,480.9,24.499999999999996,24.61111111111111,24.333333333333332,24.333333333333332,24.777777777777775,5.905555555555553,975.1511994323189,0.4931542926675928,7.12961450863804
2020-07-20 17:30:00+00:00,706.0,46.7,28.1,40.2,499620.0,12.07777777777778,30.177777777777774,5.866666666666668,4.444444444444445,904.2,486.15,24.055555555555557,23.88888888888889,24.0,23.88888888888889,24.111111111111114,6.211111111111111,1026.1889329805997,0.4737431718231079,7.421742853768978
2020-07-20 17:45:00+00:00,706.0,44.7,24.8,37.8,493515.55199999997,11.561111111111112,29.466666666666672,5.805555555555557,4.444444444444445,923.7,496.11,23.5,23.61111111111111,23.444444444444443,23.5,23.88888888888889,5.755555555555555,939.3042913580244,0.5281675007390157,6.656979074025546
2020-07-20 18:00:00+00:00,706.0,44.1,23.6,37.8,466547.42699999997,11.93333333333333,28.916666666666668,6.044444444444446,4.444444444444445,834.1,458.37,23.388888888888886,23.277777777777782,23.333333333333332,23.111111111111107,23.666666666666664,5.888888888888884,908.5469441137558,0.5045088786767293,6.969153861517912
2020-07-20 18:15:00+00:00,706.0,46.1,27.5,37.8,494083.30199999997,11.949999999999998,28.766666666666666,6.15,4.444444444444445,884.55,477.99,23.055555555555557,23.277777777777782,23.055555555555557,23.055555555555557,23.61111111111111,5.799999999999997,947.6465448412694,0.5043969216181369,6.970700750354408
2020-07-20 18:30:00+00:00,706.1,50.9,34.8,42.5,543477.5519999999,11.705555555555556,29.00555555555555,6.222222222222224,4.444444444444445,959.14,514.23,23.333333333333332,23.333333333333332,23.111111111111107,22.944444444444443,23.444444444444443,5.483333333333332,985.4724129629625,0.5218106496293434,6.738076354895234
2020-07-20 18:45:00+00:00,706.1,49.2,32.3,42.5,532122.5519999999,11.666666666666666,29.11666666666666,6.050000000000001,4.444444444444445,959.14,514.23,23.166666666666668,23.277777777777782,23.111111111111107,23.111111111111107,23.555555555555557,5.616666666666665,988.3449075396821,0.5202940755571744,6.757716770529768
2020-07-20 19:00:00+00:00,706.1,46.8,28.2,40.2,500471.625,11.88888888888889,29.33888888888889,5.911111111111111,4.444444444444445,837.96,459.87,23.5,23.388888888888886,23.5,23.5,23.666666666666664,5.977777777777778,989.321480930335,0.4648337359131724,7.56399488323017
2020-07-20 19:15:00+00:00,706.1,49.0,32.1,40.2,513529.875,11.949999999999998,29.205555555555552,6.127777777777778,4.444444444444445,872.32,473.23,23.5,23.61111111111111,23.444444444444443,23.5,23.944444444444443,5.822222222222219,988.7186011904756,0.47862961152971445,7.345972575250327
2020-07-20 19:30:00+00:00,706.1,50.6,34.6,42.5,536664.5519999999,11.81666666666667,29.533333333333328,6.272222222222222,4.444444444444445,916.92,492.65,23.277777777777782,23.000000000000004,23.5,23.277777777777782,23.333333333333332,5.544444444444448,983.9638868606706,0.5006789441956006,7.022464277280257
